     15.6888     0.793741   -0.0763142
     15.7205      0.79334   -0.0815388
     15.8279     0.814873   -0.0888958
     15.8448     0.814676   -0.0930496
     15.8574     0.813034   -0.0910651
     15.8901     0.811356    -0.112851
     15.8739     0.757165    -0.127685
     15.8905     0.754977     -0.13005
     15.9053     0.752993    -0.134965
     15.9356     0.753152    -0.122572
     15.9645     0.748462     -0.11266
       15.98     0.746308    -0.106634
     15.9793     0.764447     -0.10574
     16.0086     0.760168   -0.0948119
     16.0368     0.757941   -0.0949546
     16.0533     0.755277   -0.0947822
     16.0675     0.758007   -0.0995765
     16.1052     0.763161   -0.0909642
      16.133     0.758966   -0.0845329
     16.1496     0.756073   -0.0883253
     16.1642     0.755182   -0.0884715
     16.1935     0.751591   -0.0809579
       16.22     0.757867    -0.074619
     16.2363     0.754676    -0.066039
     16.2508     0.754763   -0.0662305
     16.2946     0.755455   -0.0576234
     16.3537     0.708278   -0.0421571
     16.3702     0.708066   -0.0312125
     16.3847     0.707849     -0.02634
      16.431     0.703576    0.0152165
     16.4483     0.708507    0.0532849
      16.435     0.667543    0.0781716
     16.4493     0.670515     0.117387
     16.4676      0.67281     0.146736
     16.5003     0.677468     0.175579
     16.5303     0.684096     0.212623
     16.5563     0.696127      0.23902
     16.5722     0.701163     0.261103
      16.587     0.706108     0.274559
     16.6173     0.716017     0.313796
     16.6491     0.725991     0.351053
     16.6641     0.731026      0.37249
     16.6654      0.77002     0.379572
      16.708      0.79437     0.442561
     16.7222     0.799684     0.462162
      16.753     0.812137     0.494042
     16.8198     0.765171      0.49974
     16.8316     0.777439      0.51662
     16.8566     0.788311     0.549274
     16.8863     0.810547     0.595164
     16.8985     0.818981       0.6245
     16.9135     0.828561     0.652831
     16.8898     0.837938     0.664899
     16.9143     0.860481     0.725389
     16.9409     0.886271     0.772207
     16.9548     0.900787     0.801533
     16.9627     0.916996      0.81631
     17.0351      1.00683     0.885448
     17.0448      1.01958     0.910297
     17.0632      1.05061     0.957349
     17.0723      1.06351     0.986612
     17.0818      1.08004      1.01532
      17.105      1.15622      1.05957
     17.1211      1.18887      1.10561
     17.1278       1.2035      1.13588
     17.1348      1.21942      1.16404
     17.1398       1.2353      1.17646
     17.1749      1.23857      1.23485
     17.1845      1.26995      1.27992
     17.1878       1.2888      1.30886
     17.1928      1.30519      1.32601
     17.1974      1.34015      1.38744
     17.0959      1.46418      1.43481
     17.1007       1.5005      1.47489
      17.099      1.51697      1.49196
     17.1007      1.54858      1.49933
     17.1677      1.54844      1.48581
     17.1684      1.56075      1.48339
     17.1681      1.58195        1.489
     17.1712      1.60531      1.51224
     17.1675      1.61605      1.50879
     17.1739       1.6277      1.51496
     17.1355      1.63686       1.5216
     17.1371      1.65969       1.5337
     17.1364      1.68112      1.53765
     17.1359      1.69361      1.53529
     17.1372      1.70442      1.53741
      17.158      1.78959      1.53526
     17.1579      1.79938      1.53051
     17.1612      1.82216       1.5292
     17.1611      1.83167      1.52956
     17.1627      1.84331       1.5301
     17.1416       1.8027      1.53154
     17.1453      1.82626      1.52396
     17.1459      1.83602      1.52818
     17.1469      1.84982       1.5249
     17.1443       1.8607      1.53858
     17.0693      1.88778      1.52078
     17.0697      1.90788      1.51726
       17.07      1.91979      1.50564
     17.0707      1.93077      1.50308
     17.0736      1.95446      1.47172
     17.0456       1.9449      1.45054
     17.0487      1.96977      1.43649
     17.0498      1.98038      1.42026
      17.052      1.99395      1.40717
     17.0548      2.00545      1.40323
       17.08      2.06193       1.3831
     17.0806       2.0848      1.37227
     17.0839      2.09705      1.36989
     17.0847      2.10877       1.3698
     17.0899      2.11653      1.36595
